Customer No,Customer Name,CNIC,City,Age,Gender,Account Number,Branch Code,Account Opening Date,Account Type,Account Status,Risk Category,KYC Status,Debit Card Company,Debit Card Type,Customer Year End Balance 2023,Customer Year End Balance 2024,Customer Year End Balance 2025,Customer Year End Balance 2026,Customer Credit Transactions Count 2023,Customer Credit Transactions Count 2024,Customer Credit Transactions Count 2025,Customer Credit Transactions Count 2026,Customer Total Credit Transaction Amount 2023,Customer Total Credit Transaction Amount 2024,Customer Total Credit Transaction Amount 2025,Customer Total Credit Transaction Amount 2026,Customer Debit Transactions Count 2023,Customer Debit Transactions Count 2024,Customer Debit Transactions Count 2025,Customer Debit Transactions Count 2026,Customer Total Debit Transaction Amount 2023,Customer Total Debit Transaction Amount 2024,Customer Total Debit Transaction Amount 2025,Customer Total Debit Transaction Amount 2026
615897,Sajjad Hussain,87252-8134793-0,Karachi,62,Male,74262154848286,434,2026-05-18,Saving,Active,Low,Completed,Mastercard,Unknown,0.0,0.0,0.0,25874.8,0,0,0,159,0.0,0.0,0.0,229744.1,0,0,0,170,0.0,0.0,0.0,392317.65
904135,Fizza Haider,97989-9890935-3,Abbottabad,20,Female,70848596871962,391,2026-03-16,Saving,Active,Medium,Completed,Mastercard,Gold,0.0,0.0,0.0,79507.95,0,0,0,255,0.0,0.0,0.0,962173.04,0,0,0,338,0.0,0.0,0.0,604608.05
929245,Ali Raza,43549-3224833-4,Quetta,51,Male,98818623283991,712,2026-03-21,Saving,Dormant,Medium,Completed,Visa,Classic,0.0,0.0,0.0,23379.93,0,0,0,140,0.0,0.0,0.0,256930.89,0,0,0,116,0.0,0.0,0.0,152156.21
222379,Shoaib Akram,28515-2932938-2,Karachi,41,Male,78585333356851,314,2026-03-21,Current,Dormant,Low,Completed,Visa,Classic,0.0,0.0,0.0,128563.11,0,0,0,384,0.0,0.0,0.0,3127882.34,0,0,0,359,0.0,0.0,0.0,1891193.49
238649,Hira Ahmed,51501-9131495-0,Karachi,50,Female,62011147320951,314,2026-05-07,Current,Active,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,61284.18,0,0,0,228,0.0,0.0,0.0,472192.46,0,0,0,261,0.0,0.0,0.0,376579.26
165028,Saba Yousuf,28618-1884054-7,Karachi,47,Female,32098803255822,402,2026-06-19,Current,Dormant,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,5821.49,0,0,0,7,0.0,0.0,0.0,3712.87,0,0,0,5,0.0,0.0,0.0,679.51
987438,Shahzad Anwar,69166-5266696-5,Quetta,25,Male,64938606105830,151,2026-03-07,Current,Active,Medium,Completed,Mastercard,Unknown,0.0,0.0,0.0,7832.16,0,0,0,62,0.0,0.0,0.0,40283.57,0,0,0,5,0.0,0.0,0.0,1635.48
759436,Umar Farooq,15864-2635814-6,Islamabad,39,Male,36716079835496,644,2026-06-21,Saving,Active,Low,Pending,Mastercard,Classic,0.0,0.0,0.0,26241.03,0,0,0,126,0.0,0.0,0.0,62476.35,0,0,0,111,0.0,0.0,0.0,160105.99
563855,Kiran Akhtar,94491-9870163-8,Bahawalpur,41,Unknown,13790174535579,577,2026-05-23,Saving,Active,Low,Completed,PayPak,Gold,0.0,0.0,0.0,21540.4,0,0,0,5,0.0,0.0,0.0,5928.25,0,0,0,149,0.0,0.0,0.0,62231.41
338175,Farah Nawaz,93351-6967287-8,Karachi,47,Female,92447930997866,857,2026-04-24,Current,Active,Low,Completed,Visa,Gold,0.0,0.0,0.0,104994.74,0,0,0,309,0.0,0.0,0.0,1604684.54,0,0,0,372,0.0,0.0,0.0,1576932.0
959536,Fizza Haider,76402-8941724-0,Unknown,66,Female,49257631757221,257,2026-05-18,Saving,Active,Low,Completed,Visa,Platinum,0.0,0.0,0.0,44068.66,0,0,0,245,0.0,0.0,0.0,890230.96,0,0,0,284,0.0,0.0,0.0,455938.84
694922,Saad Khalid,26742-1484808-2,Islamabad,52,Male,94757818553458,417,2026-02-10,Saving,Closed,Low,Completed,Mastercard,Gold,0.0,0.0,0.0,54075.66,0,0,0,134,0.0,0.0,0.0,168509.29,0,0,0,358,0.0,0.0,0.0,467074.16
490051,Haris Javed,86435-2954343-5,Lahore,58,Male,39725431022577,167,2026-02-03,Saving,Active,Low,Completed,Visa,Signature,0.0,0.0,0.0,66558.19,0,0,0,313,0.0,0.0,0.0,467453.09,0,0,0,291,0.0,0.0,0.0,439105.6
442598,Haris Javed,50210-9431411-5,Gujranwala,60,Male,24605096523736,324,2026-03-24,Current,Active,Medium,Completed,Mastercard,Classic,0.0,0.0,0.0,68181.07,0,0,0,347,0.0,0.0,0.0,1714531.97,0,0,0,462,0.0,0.0,0.0,1580068.59
690456,Naveed Akhtar,87363-9949290-4,Karachi,48,Male,58981511891405,795,2026-02-14,Saving,Active,High,Completed,Mastercard,Classic,0.0,0.0,0.0,31196.91,0,0,0,189,0.0,0.0,0.0,178669.44,0,0,0,227,0.0,0.0,0.0,196262.53
616563,Sidra Javed,74774-7353942-8,Lahore,66,Female,34927648513378,31,2026-06-03,Current,Active,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,450551.27,0,0,0,442,0.0,0.0,0.0,4688584.66,0,0,0,447,0.0,0.0,0.0,10214210.09
301004,Talha Sheikh,79490-4684419-7,Lahore,36,Male,32543326692279,731,2026-03-22,Current,Active,Medium,Completed,Unknown,Classic,0.0,0.0,0.0,12173.61,0,0,0,17,0.0,0.0,0.0,17230.25,0,0,0,106,0.0,0.0,0.0,56593.16
535792,Unknown,97982-5371262-5,Sargodha,22,Male,62703724876832,606,2026-06-18,Saving,Active,Low,Completed,PayPak,Classic,0.0,0.0,0.0,31019.3,0,0,0,137,0.0,0.0,0.0,290844.55,0,0,0,346,0.0,0.0,0.0,543980.69
261638,Nadia Baig,25686-1420060-7,Sialkot,30,Female,72810487164620,693,2026-06-01,Saving,Active,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,36575.87,0,0,0,207,0.0,0.0,0.0,284938.44,0,0,0,46,0.0,0.0,0.0,47883.23
880995,Salman Yousuf,17527-6975557-3,Peshawar,59,Male,50453675707452,933,2026-02-28,Saving,Active,Low,Completed,PayPak,Gold,0.0,0.0,0.0,19057.79,0,0,0,79,0.0,0.0,0.0,67290.29,0,0,0,39,0.0,0.0,0.0,23761.95
784939,Sadia Farooq,78812-3949942-1,Faisalabad,35,Female,94417438043266,141,2026-05-17,Saving,Dormant,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,1092460.54,0,0,0,411,0.0,0.0,0.0,16325215.02,0,0,0,464,0.0,0.0,0.0,42192362.9
569554,Hina Latif,95611-1274416-6,Rahim Yar Khan,73,Female,88785355101993,567,2026-06-16,Current,Active,Low,Completed,UnionPay,Classic,0.0,0.0,0.0,74006.57,0,0,0,283,0.0,0.0,0.0,1077134.52,0,0,0,288,0.0,0.0,0.0,642715.73
531266,Salman Yousuf,33668-7066482-1,Karachi,42,Male,84909747780552,324,2026-01-24,Saving,Active,Low,Completed,Visa,Classic,0.0,0.0,0.0,17333.31,0,0,0,124,0.0,0.0,0.0,68040.81,0,0,0,135,0.0,0.0,0.0,162731.61
352349,Noman Hussain,43420-1095008-3,Karachi,33,Male,92304315651448,378,2026-05-15,Saving,Active,Low,Completed,Visa,Classic,0.0,0.0,0.0,72444.84,0,0,0,316,0.0,0.0,0.0,989746.06,0,0,0,361,0.0,0.0,0.0,1183040.8
456877,Fizza Haider,60481-9291610-0,Bahawalpur,43,Female,93572647678991,363,2026-05-27,Current,Closed,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,20536.52,0,0,0,5,0.0,0.0,0.0,5847.99,0,0,0,80,0.0,0.0,0.0,29250.96
431448,Abdullah Sheikh,17699-2887299-1,Faisalabad,58,Male,15335335056716,483,2026-06-06,Saving,Active,Low,Pending,Mastercard,Classic,0.0,0.0,0.0,31785.72,0,0,0,227,0.0,0.0,0.0,337798.41,0,0,0,281,0.0,0.0,0.0,779876.51
421542,Yumna Farooqi,18208-6420241-7,Karachi,50,Female,43962386078011,362,2026-03-04,Saving,Active,Medium,Completed,PayPak,Platinum,0.0,0.0,0.0,37450.77,0,0,0,216,0.0,0.0,0.0,298019.77,0,0,0,182,0.0,0.0,0.0,428849.19
948433,Fatima Noor,55901-2884697-5,Faisalabad,65,Female,61988985148849,218,2026-01-05,Saving,Active,Low,Completed,Visa,Classic,0.0,0.0,0.0,87126.61,0,0,0,305,0.0,0.0,0.0,1387930.51,0,0,0,390,0.0,0.0,0.0,812091.17
495023,Hassan Khan,82589-3985020-2,Multan,30,Male,81458401101564,402,2026-04-04,Saving,Active,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,285707.71,0,0,0,309,0.0,0.0,0.0,5400864.64,0,0,0,471,0.0,0.0,0.0,3731065.83
765528,Talha Sheikh,28165-8582779-5,Lahore,36,Male,36835369691414,335,2026-06-21,Saving,Active,Low,Completed,Mastercard,Signature,0.0,0.0,0.0,31819.19,0,0,0,46,0.0,0.0,0.0,50422.29,0,0,0,62,0.0,0.0,0.0,46363.65
585119,Shazia Elahi,97179-4950348-1,Islamabad,42,Female,72618059490742,829,2026-01-14,Saving,Active,Medium,Completed,PayPak,Gold,0.0,0.0,0.0,16156.06,0,0,0,111,0.0,0.0,0.0,149464.4,0,0,0,54,0.0,0.0,0.0,67768.53
315071,Hamza Sultan,48659-3388487-4,Multan,65,Male,16007975309055,360,2026-01-23,Saving,Active,Medium,Completed,Visa,Signature,0.0,0.0,0.0,52802.32,0,0,0,234,0.0,0.0,0.0,800957.15,0,0,0,249,0.0,0.0,0.0,765141.0
688787,Maryam Butt,30221-4998173-6,Karachi,29,Unknown,59483378867281,651,2026-04-26,Saving,Active,Medium,Completed,PayPak,Gold,0.0,0.0,0.0,42542.37,0,0,0,259,0.0,0.0,0.0,519263.93,0,0,0,381,0.0,0.0,0.0,920503.78
140397,Zain Malik,63184-8916576-0,Jhelum,60,Male,22797994715242,324,2026-04-19,Current,Active,Medium,Completed,PayPak,Classic,0.0,0.0,0.0,74061.01,0,0,0,281,0.0,0.0,0.0,869303.71,0,0,0,386,0.0,0.0,0.0,1388563.67
685578,Ali Raza,85956-5528242-6,Lahore,74,Male,13929920295784,733,2026-06-26,Saving,Active,Low,Completed,Visa,Classic,0.0,0.0,0.0,824246.83,0,0,0,484,0.0,0.0,0.0,27247313.82,0,0,0,465,0.0,0.0,0.0,18239327.57
856065,Saba Yousuf,79537-7656233-3,Karachi,23,Female,67397945854795,549,2026-06-20,Saving,Active,Low,Completed,Mastercard,Gold,0.0,0.0,0.0,68584.67,0,0,0,238,0.0,0.0,0.0,949406.21,0,0,0,299,0.0,0.0,0.0,895525.65
269132,Unknown,32810-1490062-8,Lahore,53,Female,27893365670227,91,2026-01-24,Current,Active,Low,Completed,Mastercard,Classic,0.0,0.0,0.0,21863.56,0,0,0,120,0.0,0.0,0.0,138203.71,0,0,0,109,0.0,0.0,0.0,172748.5
